ユーザーID,商品ID,購入日時
66,66,2024-01-05
66,17,2024-01-08
66,18,2024-02-15
66,91,2024-02-25
66,72,2024-02-27
66,104,2024-03-03
66,46,2024-03-08
66,61,2024-03-17
66,115,2024-03-20
66,105,2024-03-21
66,52,2024-03-22
66,88,2024-03-24
66,138,2024-03-24
66,83,2024-04-01
66,49,2024-04-25
66,45,2024-05-03
66,51,2024-05-05
66,8,2024-05-13
66,65,2024-05-16
66,151,2024-05-16
66,19,2024-05-25
66,127,2024-05-30
66,74,2024-06-05
66,67,2024-06-15
66,110,2024-06-19
66,131,2024-07-08
66,101,2024-07-18
66,58,2024-07-22
66,4,2024-07-30
66,38,2024-07-31
66,27,2024-07-31
66,38,2024-08-01
66,22,2024-08-05
66,32,2024-08-05
66,35,2024-08-06
66,145,2024-08-11
66,55,2024-08-12
66,83,2024-08-12
66,149,2024-08-16
66,84,2024-08-21
66,144,2024-08-24
66,135,2024-08-29
66,9,2024-09-03
66,6,2024-09-22
66,156,2024-10-16
66,15,2024-10-17
66,24,2024-10-21
66,19,2024-10-23
66,58,2024-10-27
