ユーザーID,商品ID,購入日時
67,90,2024-01-13
67,42,2024-01-14
67,43,2024-01-15
67,104,2024-01-24
67,5,2024-01-28
67,13,2024-02-05
67,35,2024-02-15
67,113,2024-02-17
67,42,2024-02-22
67,47,2024-03-11
67,67,2024-05-03
67,48,2024-05-15
67,150,2024-05-18
67,140,2024-05-31
67,15,2024-06-20
67,28,2024-06-21
67,3,2024-07-05
67,50,2024-07-18
67,23,2024-08-03
67,5,2024-09-02
67,63,2024-09-30
67,16,2024-10-06
67,139,2024-10-10
67,48,2024-10-14
67,139,2024-10-16
67,143,2024-10-26
67,10,2024-10-27
