ユーザーID,商品ID,購入日時
68,105,2024-01-02
68,57,2024-01-05
68,111,2024-01-10
68,96,2024-01-17
68,144,2024-01-30
68,29,2024-01-30
68,12,2024-02-04
68,147,2024-02-08
68,110,2024-02-10
68,147,2024-02-23
68,105,2024-03-06
68,115,2024-03-10
68,126,2024-03-14
68,56,2024-04-13
68,69,2024-04-21
68,12,2024-04-27
68,96,2024-05-09
68,124,2024-05-16
68,126,2024-05-25
68,27,2024-06-02
68,140,2024-06-18
68,119,2024-06-20
68,139,2024-07-11
68,29,2024-07-12
68,34,2024-07-14
68,132,2024-07-23
68,108,2024-07-29
68,55,2024-07-30
68,119,2024-08-01
68,146,2024-08-13
68,49,2024-08-15
68,80,2024-08-19
68,123,2024-08-30
68,142,2024-09-01
68,85,2024-09-13
68,121,2024-09-28
68,93,2024-10-05
68,45,2024-10-06
68,156,2024-10-08
68,124,2024-10-11
68,14,2024-10-12
68,83,2024-10-17
68,57,2024-10-18
68,6,2024-10-21
68,124,2024-10-22
