ユーザーID,商品ID,購入日時
69,115,2024-01-16
69,122,2024-02-19
69,3,2024-02-20
69,151,2024-02-21
69,102,2024-02-24
69,24,2024-03-03
69,118,2024-03-08
69,109,2024-03-16
69,121,2024-03-19
69,93,2024-03-21
69,75,2024-03-24
69,58,2024-03-28
69,62,2024-04-09
69,73,2024-04-13
69,56,2024-04-16
69,16,2024-04-25
69,4,2024-05-08
69,73,2024-05-12
69,122,2024-05-13
69,16,2024-05-15
69,130,2024-05-19
69,119,2024-05-31
69,92,2024-06-09
69,119,2024-06-21
69,1,2024-06-26
69,133,2024-06-30
69,117,2024-07-12
69,30,2024-07-19
69,88,2024-07-22
69,155,2024-07-24
69,126,2024-07-27
69,89,2024-07-27
69,20,2024-08-03
69,95,2024-08-05
69,28,2024-08-10
69,101,2024-08-16
69,88,2024-08-16
69,136,2024-08-18
69,140,2024-08-21
69,111,2024-08-24
69,147,2024-08-27
69,1,2024-09-10
69,111,2024-09-15
69,35,2024-09-26
69,46,2024-10-11
69,130,2024-10-19
69,104,2024-10-27
69,7,2024-10-27
