ユーザーID,商品ID,購入日時
72,125,2024-01-19
72,153,2024-02-04
72,137,2024-02-04
72,103,2024-02-10
72,77,2024-03-08
72,110,2024-03-11
72,141,2024-03-17
72,62,2024-03-19
72,89,2024-03-26
72,80,2024-04-02
72,20,2024-04-06
72,105,2024-04-08
72,63,2024-04-10
72,115,2024-04-30
72,98,2024-05-11
72,110,2024-05-15
72,53,2024-05-17
72,93,2024-06-09
72,46,2024-06-19
72,135,2024-07-09
72,88,2024-07-11
72,13,2024-07-13
72,61,2024-07-16
72,85,2024-08-07
72,151,2024-08-15
72,70,2024-08-15
72,88,2024-08-17
72,117,2024-08-22
72,38,2024-09-05
72,148,2024-09-21
72,27,2024-10-11
72,102,2024-10-13
72,50,2024-10-15
72,144,2024-10-20
