ユーザーID,商品ID,購入日時
73,19,2024-01-05
73,10,2024-01-06
73,83,2024-01-08
73,106,2024-01-29
73,67,2024-02-07
73,153,2024-02-14
73,11,2024-02-29
73,100,2024-03-04
73,4,2024-03-05
73,6,2024-03-07
73,155,2024-03-11
73,155,2024-03-15
73,75,2024-03-20
73,9,2024-03-22
73,143,2024-04-06
73,78,2024-04-08
73,51,2024-04-09
73,74,2024-04-09
73,39,2024-04-19
73,41,2024-04-20
73,151,2024-04-24
73,97,2024-05-15
73,109,2024-05-25
73,116,2024-05-25
73,4,2024-05-29
73,70,2024-06-20
73,114,2024-07-01
73,20,2024-07-05
73,67,2024-07-14
73,50,2024-07-25
73,38,2024-08-07
73,116,2024-08-29
73,54,2024-09-01
73,11,2024-09-18
73,100,2024-10-07
73,127,2024-10-12
73,81,2024-10-17
73,23,2024-10-23
73,152,2024-10-23
73,123,2024-10-24
73,52,2024-10-25
