ユーザーID,商品ID,購入日時
74,147,2024-01-03
74,86,2024-01-09
74,145,2024-01-15
74,32,2024-01-17
74,10,2024-01-21
74,83,2024-01-21
74,37,2024-02-27
74,63,2024-03-14
74,55,2024-03-25
74,18,2024-04-08
74,36,2024-04-15
74,87,2024-04-17
74,20,2024-04-18
74,59,2024-04-19
74,65,2024-04-24
74,96,2024-04-27
74,93,2024-05-04
74,15,2024-05-23
74,61,2024-06-07
74,139,2024-06-16
74,20,2024-06-24
74,132,2024-07-03
74,95,2024-07-11
74,79,2024-07-18
74,97,2024-07-30
74,27,2024-07-31
74,38,2024-08-17
74,87,2024-08-21
74,69,2024-08-23
74,78,2024-08-25
74,126,2024-09-06
74,63,2024-09-20
74,14,2024-10-08
74,72,2024-10-14
74,69,2024-10-15
74,22,2024-10-26
