ユーザーID,商品ID,購入日時
75,136,2024-01-04
75,11,2024-01-05
75,147,2024-01-11
75,106,2024-02-08
75,50,2024-02-20
75,152,2024-03-13
75,14,2024-03-15
75,78,2024-03-17
75,119,2024-04-02
75,20,2024-04-22
75,30,2024-04-26
75,125,2024-04-28
75,34,2024-05-09
75,74,2024-05-15
75,57,2024-06-03
75,20,2024-06-11
75,4,2024-07-23
75,34,2024-07-25
75,56,2024-08-04
75,16,2024-08-11
75,120,2024-08-17
75,98,2024-08-17
75,132,2024-08-19
75,63,2024-09-08
75,140,2024-09-08
75,133,2024-09-10
75,38,2024-09-14
75,50,2024-09-14
75,99,2024-09-22
75,88,2024-09-26
75,143,2024-09-26
75,40,2024-10-01
75,115,2024-10-17
