ユーザーID,商品ID,購入日時
8,88,2024-01-08
8,29,2024-01-25
8,27,2024-01-26
8,47,2024-02-08
8,85,2024-02-16
8,112,2024-02-16
8,61,2024-02-23
8,138,2024-02-29
8,67,2024-03-06
8,79,2024-03-12
8,122,2024-03-13
8,88,2024-03-13
8,30,2024-03-21
8,24,2024-03-27
8,31,2024-04-26
8,143,2024-04-30
8,113,2024-05-07
8,137,2024-05-07
8,6,2024-05-14
8,88,2024-05-30
8,60,2024-06-01
8,63,2024-06-10
8,22,2024-06-18
8,48,2024-06-19
8,50,2024-06-24
8,144,2024-06-25
8,48,2024-06-29
8,22,2024-08-19
8,34,2024-08-31
8,47,2024-08-31
8,11,2024-09-02
8,68,2024-09-12
8,27,2024-09-20
8,98,2024-10-01
8,74,2024-10-03
8,144,2024-10-15
8,39,2024-10-27
