ユーザーID,商品ID,購入日時
81,152,2024-01-10
81,124,2024-01-19
81,11,2024-01-29
81,15,2024-02-04
81,21,2024-02-08
81,85,2024-02-10
81,73,2024-02-26
81,44,2024-03-06
81,97,2024-03-19
81,78,2024-03-29
81,124,2024-03-29
81,96,2024-04-04
81,52,2024-04-06
81,75,2024-05-26
81,2,2024-05-27
81,113,2024-06-05
81,123,2024-06-23
81,79,2024-07-04
81,35,2024-07-18
81,143,2024-07-18
81,24,2024-07-23
81,151,2024-07-23
81,16,2024-07-25
81,135,2024-07-31
81,104,2024-08-10
81,51,2024-08-25
81,141,2024-09-01
81,81,2024-10-12
81,132,2024-10-17
81,94,2024-10-22
