ユーザーID,商品ID,購入日時
82,151,2024-01-02
82,119,2024-01-05
82,51,2024-01-06
82,109,2024-01-16
82,5,2024-02-05
82,118,2024-02-08
82,130,2024-02-09
82,115,2024-02-09
82,35,2024-02-14
82,78,2024-02-15
82,70,2024-02-26
82,32,2024-03-10
82,15,2024-03-11
82,108,2024-03-15
82,156,2024-03-26
82,94,2024-04-01
82,18,2024-04-10
82,113,2024-04-13
82,14,2024-04-18
82,58,2024-04-18
82,77,2024-04-18
82,103,2024-04-19
82,50,2024-05-02
82,104,2024-05-10
82,84,2024-05-13
82,83,2024-05-14
82,34,2024-05-14
82,140,2024-05-16
82,78,2024-05-27
82,33,2024-06-25
82,2,2024-07-12
82,59,2024-07-19
82,67,2024-07-23
82,134,2024-08-08
82,145,2024-09-05
82,117,2024-09-16
82,94,2024-09-21
82,118,2024-10-10
82,150,2024-10-22
82,148,2024-10-23
82,122,2024-10-24
82,23,2024-10-27
82,65,2024-10-27
