ユーザーID,商品ID,購入日時
85,133,2024-01-19
85,85,2024-01-24
85,20,2024-01-28
85,136,2024-02-02
85,93,2024-02-25
85,71,2024-03-04
85,12,2024-03-17
85,62,2024-03-19
85,64,2024-03-26
85,77,2024-03-30
85,53,2024-04-02
85,86,2024-04-04
85,16,2024-04-19
85,87,2024-04-25
85,28,2024-04-25
85,146,2024-04-28
85,46,2024-05-02
85,103,2024-05-04
85,12,2024-05-11
85,78,2024-05-24
85,151,2024-05-28
85,156,2024-05-28
85,78,2024-06-02
85,42,2024-06-13
85,110,2024-06-28
85,97,2024-07-06
85,26,2024-07-07
85,28,2024-07-14
85,47,2024-08-04
85,130,2024-08-19
85,71,2024-08-19
85,6,2024-08-19
85,22,2024-08-22
85,106,2024-08-27
85,133,2024-09-07
85,57,2024-09-07
85,141,2024-09-09
85,15,2024-09-22
85,9,2024-09-22
85,10,2024-09-27
85,23,2024-09-28
85,45,2024-10-01
85,39,2024-10-06
85,108,2024-10-10
85,133,2024-10-13
85,27,2024-10-22
