ユーザーID,商品ID,購入日時
86,51,2024-01-21
86,64,2024-01-27
86,108,2024-01-28
86,95,2024-02-10
86,63,2024-02-13
86,41,2024-02-18
86,104,2024-03-03
86,72,2024-03-14
86,152,2024-03-19
86,38,2024-04-02
86,64,2024-04-04
86,34,2024-04-08
86,38,2024-04-15
86,126,2024-05-05
86,1,2024-05-08
86,41,2024-05-11
86,6,2024-05-16
86,21,2024-06-03
86,13,2024-06-07
86,128,2024-06-09
86,51,2024-06-14
86,34,2024-06-29
86,41,2024-07-03
86,75,2024-08-03
86,110,2024-08-07
86,77,2024-08-08
86,69,2024-08-21
86,78,2024-08-24
86,48,2024-08-27
86,150,2024-09-21
86,107,2024-09-25
86,150,2024-09-26
86,36,2024-09-30
86,152,2024-10-06
