ユーザーID,商品ID,購入日時
89,47,2024-01-13
89,31,2024-01-18
89,35,2024-02-23
89,12,2024-02-24
89,21,2024-02-28
89,14,2024-03-11
89,70,2024-03-13
89,34,2024-03-18
89,146,2024-03-21
89,125,2024-03-23
89,124,2024-03-23
89,36,2024-03-29
89,105,2024-03-31
89,73,2024-04-03
89,99,2024-04-04
89,3,2024-04-12
89,155,2024-04-16
89,118,2024-04-29
89,25,2024-05-02
89,107,2024-05-10
89,152,2024-05-13
89,97,2024-05-14
89,145,2024-05-29
89,52,2024-05-29
89,21,2024-06-06
89,110,2024-06-08
89,2,2024-06-15
89,133,2024-06-16
89,90,2024-06-17
89,1,2024-06-19
89,9,2024-06-21
89,123,2024-06-23
89,141,2024-06-23
89,3,2024-07-17
89,77,2024-07-22
89,146,2024-07-31
89,122,2024-08-01
89,64,2024-08-02
89,132,2024-08-09
89,94,2024-08-17
89,109,2024-08-26
89,144,2024-08-31
89,72,2024-09-19
89,75,2024-09-20
89,61,2024-10-01
89,46,2024-10-03
89,115,2024-10-06
89,26,2024-10-22
89,91,2024-10-23
