ユーザーID,商品ID,購入日時
9,23,2024-01-02
9,95,2024-01-04
9,2,2024-01-14
9,24,2024-02-16
9,140,2024-02-18
9,3,2024-02-28
9,117,2024-02-29
9,70,2024-03-07
9,64,2024-03-20
9,39,2024-03-26
9,103,2024-04-05
9,121,2024-04-30
9,126,2024-05-10
9,111,2024-06-10
9,64,2024-06-18
9,49,2024-06-22
9,2,2024-07-11
9,88,2024-07-19
9,138,2024-08-04
9,93,2024-08-07
9,5,2024-08-16
9,133,2024-08-19
9,45,2024-08-26
9,73,2024-08-30
9,54,2024-09-04
9,19,2024-09-22
9,78,2024-09-24
9,96,2024-10-02
9,108,2024-10-04
9,105,2024-10-13
9,47,2024-10-21
9,127,2024-10-22
