ユーザーID,商品ID,購入日時
90,94,2024-01-10
90,96,2024-01-12
90,5,2024-01-26
90,72,2024-02-05
90,37,2024-02-28
90,109,2024-03-09
90,76,2024-03-24
90,147,2024-03-31
90,94,2024-04-12
90,53,2024-05-02
90,89,2024-05-14
90,115,2024-05-28
90,91,2024-06-03
90,106,2024-06-10
90,21,2024-06-13
90,147,2024-06-19
90,130,2024-06-27
90,106,2024-07-22
90,137,2024-07-28
90,32,2024-07-31
90,155,2024-08-13
90,86,2024-08-28
90,81,2024-08-30
90,105,2024-09-12
90,63,2024-09-21
90,45,2024-09-22
90,87,2024-09-27
90,64,2024-09-28
90,16,2024-10-09
