ユーザーID,商品ID,購入日時
91,121,2024-01-04
91,85,2024-01-04
91,125,2024-01-09
91,16,2024-01-11
91,115,2024-01-19
91,40,2024-02-01
91,100,2024-02-20
91,17,2024-03-04
91,102,2024-03-05
91,8,2024-03-07
91,121,2024-03-15
91,15,2024-03-19
91,73,2024-03-26
91,108,2024-03-26
91,74,2024-03-26
91,25,2024-04-09
91,9,2024-04-15
91,117,2024-04-18
91,72,2024-04-18
91,74,2024-04-23
91,105,2024-05-08
91,125,2024-05-19
91,140,2024-05-21
91,7,2024-05-21
91,72,2024-05-26
91,55,2024-06-13
91,92,2024-06-14
91,63,2024-06-24
91,37,2024-07-08
91,72,2024-07-16
91,142,2024-07-17
91,71,2024-07-24
91,63,2024-07-25
91,82,2024-08-14
91,103,2024-08-14
91,23,2024-09-09
91,80,2024-09-18
91,144,2024-09-21
91,37,2024-09-22
91,65,2024-09-30
91,112,2024-10-21
