ユーザーID,商品ID,購入日時
93,112,2024-01-12
93,67,2024-01-16
93,106,2024-01-22
93,59,2024-01-24
93,36,2024-02-06
93,150,2024-02-08
93,18,2024-02-13
93,151,2024-02-13
93,123,2024-02-17
93,99,2024-03-18
93,84,2024-03-19
93,27,2024-03-25
93,52,2024-04-08
93,148,2024-04-08
93,84,2024-04-09
93,124,2024-04-11
93,78,2024-04-12
93,4,2024-04-22
93,92,2024-04-29
93,70,2024-05-04
93,70,2024-05-11
93,52,2024-05-11
93,21,2024-05-16
93,83,2024-05-20
93,87,2024-06-26
93,127,2024-07-01
93,102,2024-07-05
93,27,2024-07-17
93,112,2024-08-01
93,133,2024-08-05
93,140,2024-08-06
93,90,2024-09-17
93,9,2024-09-17
93,150,2024-09-17
93,129,2024-09-22
93,79,2024-09-23
93,45,2024-09-23
93,66,2024-09-27
93,88,2024-10-01
93,128,2024-10-11
93,23,2024-10-19
93,3,2024-10-26
