ユーザーID,商品ID,購入日時
94,97,2024-01-07
94,44,2024-01-10
94,108,2024-01-16
94,129,2024-01-27
94,88,2024-01-31
94,10,2024-03-05
94,32,2024-03-06
94,149,2024-03-09
94,1,2024-03-15
94,153,2024-03-27
94,108,2024-04-11
94,152,2024-04-21
94,28,2024-04-24
94,136,2024-04-27
94,63,2024-04-29
94,105,2024-05-14
94,50,2024-05-18
94,59,2024-05-26
94,136,2024-05-30
94,121,2024-07-22
94,69,2024-07-23
94,117,2024-08-13
94,87,2024-08-26
94,145,2024-09-07
94,127,2024-09-07
94,96,2024-09-11
94,99,2024-09-11
94,151,2024-09-18
94,40,2024-10-10
94,122,2024-10-18
