ユーザーID,商品ID,購入日時
95,85,2024-01-06
95,136,2024-01-10
95,121,2024-01-12
95,32,2024-01-19
95,114,2024-02-07
95,138,2024-02-22
95,21,2024-03-12
95,109,2024-03-21
95,127,2024-03-29
95,5,2024-04-14
95,98,2024-04-15
95,125,2024-04-17
95,121,2024-04-19
95,92,2024-05-01
95,146,2024-05-08
95,115,2024-05-12
95,102,2024-05-14
95,29,2024-05-15
95,19,2024-05-18
95,11,2024-05-19
95,101,2024-05-24
95,101,2024-06-02
95,12,2024-06-12
95,96,2024-06-20
95,125,2024-06-20
95,53,2024-06-22
95,151,2024-07-09
95,12,2024-07-12
95,115,2024-07-22
95,19,2024-07-26
95,19,2024-08-05
95,46,2024-08-07
95,14,2024-08-21
95,64,2024-10-05
95,122,2024-10-18
95,62,2024-10-20
95,142,2024-10-23
