ユーザーID,商品ID,購入日時
96,103,2024-01-05
96,95,2024-01-23
96,23,2024-01-23
96,43,2024-01-24
96,51,2024-01-24
96,29,2024-02-06
96,140,2024-02-08
96,80,2024-02-13
96,2,2024-03-02
96,143,2024-03-06
96,5,2024-03-09
96,122,2024-03-09
96,137,2024-03-10
96,15,2024-04-01
96,57,2024-04-05
96,62,2024-04-05
96,104,2024-04-08
96,128,2024-04-11
96,55,2024-04-18
96,4,2024-04-18
96,143,2024-05-13
96,25,2024-05-19
96,113,2024-05-21
96,153,2024-06-14
96,47,2024-06-27
96,82,2024-07-03
96,57,2024-07-12
96,40,2024-07-16
96,77,2024-09-09
96,25,2024-09-10
96,156,2024-09-16
96,7,2024-10-10
96,156,2024-10-23
