ユーザーID,商品ID,購入日時
98,151,2024-01-03
98,74,2024-02-12
98,141,2024-02-20
98,3,2024-02-29
98,73,2024-03-01
98,89,2024-03-11
98,126,2024-03-14
98,2,2024-03-22
98,13,2024-03-23
98,61,2024-03-25
98,150,2024-04-06
98,154,2024-04-14
98,100,2024-04-24
98,37,2024-05-09
98,129,2024-05-16
98,87,2024-06-10
98,139,2024-06-15
98,2,2024-06-15
98,19,2024-06-22
98,87,2024-07-08
98,12,2024-07-12
98,32,2024-07-25
98,70,2024-07-31
98,94,2024-08-05
98,76,2024-08-09
98,143,2024-08-09
98,3,2024-08-20
98,43,2024-08-22
98,100,2024-09-07
98,97,2024-09-18
98,10,2024-10-10
