ユーザーID,商品ID,購入日時
99,37,2024-01-10
99,144,2024-01-22
99,48,2024-01-26
99,118,2024-02-04
99,87,2024-02-05
99,51,2024-02-09
99,89,2024-02-11
99,116,2024-02-15
99,42,2024-02-19
99,120,2024-02-27
99,103,2024-03-03
99,87,2024-03-06
99,18,2024-03-14
99,55,2024-03-26
99,116,2024-04-03
99,117,2024-04-13
99,15,2024-04-28
99,148,2024-04-28
99,7,2024-05-04
99,53,2024-05-13
99,64,2024-05-30
99,102,2024-06-06
99,23,2024-06-07
99,84,2024-06-11
99,82,2024-06-15
99,141,2024-06-27
99,119,2024-07-02
99,60,2024-07-12
99,66,2024-07-19
99,58,2024-08-05
99,57,2024-08-11
99,49,2024-08-11
99,41,2024-08-17
99,21,2024-08-23
99,1,2024-08-27
99,156,2024-09-03
99,141,2024-09-05
99,26,2024-09-14
99,31,2024-09-15
99,155,2024-10-03
99,133,2024-10-04
99,140,2024-10-17
99,39,2024-10-23
